PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/11 14:00,PLMN,N604,100,100,99.826,99.8418,99.2012,99.9613,100,1.414,1.5411,9.3311,6395.8,6584.7,0,0.8197,0.6495,0.6343,"4,627.54",413.17,,4,0.0004,0.0001,0,0.47
2/11 15:00,PLMN,N103,100,99.8787,99.8281,99.8629,99.2466,99.9798,96.0674,1939.9943,141.0245,740.1181,2479.8,3107.6,0.2315,0.6344,0.3581,0.3335,4262.737,206.5429,100,3.3351,0.1516,0.0655,0.1159,0.36
2/11 15:00,PLMN,N104,100,99.652,99.6638,99.7355,98.4399,99.9543,98.5105,291.8694,90.3153,630.1475,5346.4,6241.9,0.5311,0.9976,0.5094,0.4346,5014.1169,444.4209,100,4.1133,0.0661,0.0405,1.1071,0.52
2/11 15:00,PLMN,N105,99.9909,99.725,99.6662,99.7411,98.807,99.9512,98.6807,477.2172,122.6689,683.2968,4899.4,5849.6,0.473,1.0895,0.6745,0.6288,4194.2739,359.7336,99.3711,4.5475,0.0797,0.0512,1.0226,0.49
2/11 15:00,PLMN,N107,99.9774,99.7475,99.7544,99.7934,99.0772,99.9673,97.6077,1565.7768,132.8788,653.7866,3027.1,3754.3,0.3798,0.6756,0.5014,0.4686,4066.5071,258.8538,100,2.8499,0.1231,0.0673,0.1383,0.35
2/11 15:00,PLMN,N108,100,99.7093,99.7438,99.8007,98.574,99.9467,98.5007,503.524,108.7582,703.3271,3728.8,4599,0.4974,0.8482,0.4823,0.4603,4536.0065,339.313,100,3.7529,0.1006,0.0461,1.3765,0.41
2/11 15:00,PLMN,N109,99.9992,99.7605,99.7535,99.7847,98.9245,99.9593,100,409.2682,126.0734,859.6314,5714.4,6883.9,0.3422,1.1681,0.3654,0.3857,4406.5047,417.3757,100,3.633,0.0908,0.0613,1.245,0.47
2/11 15:00,PLMN,N110,100,99.8012,99.6337,99.7015,98.8539,99.9386,98.9392,575.4236,128.3197,742.6677,4068.7,4980.3,0.4173,1.141,0.4923,0.442,4665.9721,373.0176,100,2.3327,0.4788,0.3458,2.7915,0.55
2/11 15:00,PLMN,N112,100,99.8256,99.7982,99.8373,99.0643,99.9477,95.9184,388.2551,83.789,536.0675,4125.3,5093.5,0.3629,0.692,0.443,0.4275,4237.6677,317.8609,100,2.2435,0.0677,0.0527,0.4149,0.51
2/11 15:00,PLMN,N114,100,99.7357,99.7851,99.841,99.1444,99.9785,98.125,625.085,92.9394,526.0627,4123.2,5004.3,0.3344,0.735,0.4977,0.4384,4147.2785,304.7069,100,2.2445,0.0357,0.021,0.3288,0.36
2/11 15:00,PLMN,N115,99.9996,99.8729,99.7963,99.8359,99.3317,99.9753,98.4,1363.5049,136.6686,824.9915,2368.4,2907.5,0.2465,0.5557,0.4278,0.3978,4541.903,227.1375,99.3421,3.8251,0.1493,0.0715,0.8456,0.31
2/11 15:00,PLMN,N116,100,99.6307,99.5118,99.627,98.8292,99.9537,98.0198,428.7519,113.5664,639.6911,3744,4502.1,0.5818,1.438,0.6609,0.5647,4056.8878,322.2922,100,3.7078,0.1173,0.0734,0.9762,0.71
